"Direxion Moonshot Innovators ETF"
MOON
"Shares Outstanding:4450001"
""
""
TradeDate,AccountTicker,StockTicker,SecurityDescription,Shares,Price,MarketValue
"10/8/2021 12:00:00 AM",MOON,SLGG,"SUPER LEAGUE GAMING INC",599869,3.2700,1961571.6300
"10/8/2021 12:00:00 AM",MOON,VRNS,"VARONIS SYSTEMS INC",66830,61.9500,4140118.5000
"10/8/2021 12:00:00 AM",MOON,VLDR,"VELODYNE LIDAR INC",290009,5.9000,1711053.1000
"10/8/2021 12:00:00 AM",MOON,SPCE,"VIRGIN GALACTIC HOLDINGS INC",94690,23.2100,2197754.9000
"10/8/2021 12:00:00 AM",MOON,VUZI,"VUZIX CORP",175314,10.1300,1775930.8200
"10/8/2021 12:00:00 AM",MOON,WKHS,"WORKHORSE GROUP INC",196998,6.3600,1252907.2800
"10/8/2021 12:00:00 AM",MOON,XPER,"XPERI HOLDING CORP",147773,18.4100,2720500.9300
"10/8/2021 12:00:00 AM",MOON,XNET,"XUNLEI LTD-ADR",648987,2.8600,1856102.8200
"10/8/2021 12:00:00 AM",MOON,YELP,"YELP INC",81026,38.8100,3144619.0600
"10/8/2021 12:00:00 AM",MOON,AMBA,"AMBARELLA INC",34575,158.6500,5485323.7500
"10/8/2021 12:00:00 AM",MOON,EBON,"EBANG INTERNATIONAL HLDGS-A",932576,1.8800,1753242.8800
"10/8/2021 12:00:00 AM",MOON,CRSP,"CRISPR THERAPEUTICS AG",27757,102.9900,2858693.4300
"10/8/2021 12:00:00 AM",MOON,RDWR,"RADWARE LTD",112141,34.3600,3853164.7600
"10/8/2021 12:00:00 AM",MOON,PRQR,"PROQR THERAPEUTICS NV",515370,7.5300,3880736.1000
"10/8/2021 12:00:00 AM",MOON,AXDX,"ACCELERATE DIAGNOSTICS INC",168478,5.6600,953585.4800
"10/8/2021 12:00:00 AM",MOON,ADAP,"ADAPTIMMUNE THERAPEUTICS-ADR",720624,5.1600,3718419.8400
"10/8/2021 12:00:00 AM",MOON,AVAV,"AEROVIRONMENT INC",30206,87.0800,2630338.4800
"10/8/2021 12:00:00 AM",MOON,AGYS,"AGILYSYS INC",60490,54.1000,3272509.0000
"10/8/2021 12:00:00 AM",MOON,ARCT,"ARCTURUS THERAPEUTICS HOLDIN",97626,43.1500,4212561.9000
"10/8/2021 12:00:00 AM",MOON,ASAN,"ASANA INC - CL A",80905,108.8700,8808127.3500
"10/8/2021 12:00:00 AM",MOON,ASXC,"ASENSUS SURGICAL INC",1140172,1.7800,2029506.1600
"10/8/2021 12:00:00 AM",MOON,BTCM,"BIT MINING LTD - SPON ADR",417729,9.5700,3997666.5300
"10/8/2021 12:00:00 AM",MOON,BLDP,"BALLARD POWER SYSTEMS INC",183833,13.5700,2494613.8100
"10/8/2021 12:00:00 AM",MOON,BIGC,"BIGCOMMERCE HOLDINGS-SER 1",56202,51.8700,2915197.7400
